"id","date","time","sex","age","stimulus","stimulus_gender","iq","perc_iq","perc_attr"
"30",2018-07-07,10:08:17,"Male",28,"CF0001_1101_NE.jpg","Female",99,98,"1"
"30",2018-07-07,10:08:17,"Male",28,"CF00016_1100_NE.jpg","Female",110,85,"7"
"30",2018-07-07,10:08:17,"Male",28,"CF00017_1100_NE.jpg","Female",113,130,"3"
"30",2018-07-07,10:08:17,"Male",28,"CF00018_1100_NE.jpg","Female",106,106,"7"
"30",2018-07-07,10:08:17,"Male",28,"CF00019_1100_NE.jpg","Female",88,92,"2"
"30",2018-07-07,10:08:17,"Male",28,"CF0002_1100_NE.jpg","Female",108,123,"7"
"30",2018-07-07,10:08:17,"Male",28,"CF0003_1100_NE.jpg","Female",99,99,"5"
"30",2018-07-07,10:08:17,"Male",28,"CF0004_1100_NE.jpg","Female",99,99,"6"
"30",2018-07-07,10:08:17,"Male",28,"CF0005_1100_NE.jpg","Female",101,101,"5"
"30",2018-07-07,10:08:17,"Male",28,"CF0006_1100_NE.jpg","Female",96,96,"6"
"30",2018-07-07,10:08:17,"Male",28,"CF0007_1100_NE.jpg","Female",101,101,"1"
"30",2018-07-07,10:08:17,"Male",28,"CF0008_1100_NE.jpg","Female",92,107,"3"
"30",2018-07-07,10:08:17,"Male",28,"CF0009_1100_NE.jpg","Female",110,110,"6"
"30",2018-07-07,10:08:17,"Male",28,"CF0010_1100_NE.jpg","Female",105,105,"6"
"30",2018-07-07,10:08:17,"Male",28,"CF0011_1101_NE.jpg","Female",112,115,"3"
"30",2018-07-07,10:08:17,"Male",28,"CF0012_1110_NE.jpg","Female",122,122,"6"
"30",2018-07-07,10:08:17,"Male",28,"CF0013_1110_NE.jpg","Female",92,92,"7"
"30",2018-07-07,10:08:17,"Male",28,"CF0014_1100_NE.jpg","Female",98,98,"1"
"30",2018-07-07,10:08:17,"Male",28,"CF0015_1110_NE.jpg","Female",113,113,"7"
"30",2018-07-07,10:08:17,"Male",28,"CF0020_1100_NE.jpg","Female",77,107,"6"
"30",2018-07-07,10:08:17,"Male",28,"CF0021_1100_NE.jpg","Female",107,91,"2"
"30",2018-07-07,10:08:17,"Male",28,"CF0022_1100_NE.jpg","Female",107,105,"5"
"30",2018-07-07,10:08:17,"Male",28,"CF0023_1100_NE.jpg","Female",103,85,"1"
"30",2018-07-07,10:08:17,"Male",28,"CF0025_1100_NE.jpg","Female",108,108,"2"
"30",2018-07-07,10:08:17,"Male",28,"CF0026_1110_NE.jpg","Female",72,72,"6"
"30",2018-07-07,10:08:17,"Male",28,"CF0027_1110_NE.jpg","Female",81,81,"5"
"30",2018-07-07,10:08:17,"Male",28,"CF0028_1100_NE.jpg","Female",102,70,"5"
"30",2018-07-07,10:08:17,"Male",28,"CF0029_1100_NE.jpg","Female",88,88,"1"
"30",2018-07-07,10:08:17,"Male",28,"CF0030_1100_NE.jpg","Female",105,93,"6"
"30",2018-07-07,10:08:17,"Male",28,"CF0031_1100_NE.jpg","Female",97,85,"6"
"30",2018-07-07,10:08:17,"Male",28,"CF0032_1100_NE.jpg","Female",88,88,"5"
"30",2018-07-07,10:08:17,"Male",28,"CF0033_1100_NE.jpg","Female",106,113,"3"
"30",2018-07-07,10:08:17,"Male",28,"CF0034_1100_NE.jpg","Female",97,73,"7"
"30",2018-07-07,10:08:17,"Male",28,"CF0035_1100_NE.jpg","Female",98,98,"2"
"30",2018-07-07,10:08:17,"Male",28,"CF0035_1101_NE.jpg","Female",90,90,"6"
"30",2018-07-07,10:08:17,"Male",28,"CF0036_1100_NE.jpg","Female",90,90,"7"
"30",2018-07-07,10:08:17,"Male",28,"CF0037_1100_NE.jpg","Female",115,115,"4"
"30",2018-07-07,10:08:17,"Male",28,"CF0038_1110_NE.jpg","Female",97,112,"7"
"30",2018-07-07,10:08:17,"Male",28,"CF0039_1110_NE.jpg","Female",72,71,"6"
"30",2018-07-07,10:08:17,"Male",28,"CF0040_1110_NE.jpg","Female",112,112,"5"
"30",2018-07-07,10:08:17,"Male",28,"CF0041_1100_NE.jpg","Female",91,72,"3"
"30",2018-07-07,10:08:17,"Male",28,"CF0042_1100_NE.jpg","Female",126,126,"5"
"30",2018-07-07,10:08:17,"Male",28,"CF0043_1100_NE.jpg","Female",99,99,"3"
"30",2018-07-07,10:08:17,"Male",28,"CF0044_1100_NE.jpg","Female",92,92,"4"
"30",2018-07-07,10:08:17,"Male",28,"CF0045_1110_NE.jpg","Female",97,99,"7"
"30",2018-07-07,10:08:17,"Male",28,"CF0046_1100_NE.jpg","Female",91,91,"3"
"30",2018-07-07,10:08:17,"Male",28,"CF0048_1101_NE.jpg","Female",96,96,"1"
"30",2018-07-07,10:08:17,"Male",28,"CF0049_1100_NE.jpg","Female",99,92,"1"
"30",2018-07-07,10:08:17,"Male",28,"CF0050_1100_NE.jpg","Female",111,113,"5"
"30",2018-07-07,10:08:17,"Male",28,"CF0051_1100_NE.jpg","Female",79,70,"6"
"30",2018-07-07,10:08:17,"Male",28,"CF0052_1100_NE.jpg","Female",99,130,"7"
"30",2018-07-07,10:08:17,"Male",28,"CF0053_1100_NE.jpg","Female",95,104,"4"
"30",2018-07-07,10:08:17,"Male",28,"CF0054_1100_NE.jpg","Female",112,112,"1"
"30",2018-07-07,10:08:17,"Male",28,"CF0055_1100_NE.jpg","Female",104,130,"2"
"30",2018-07-07,10:08:17,"Male",28,"CF0056_1110_NE.jpg","Female",81,91,"7"
"30",2018-07-07,10:08:17,"Male",28,"CF0057_1100_NE.jpg","Female",101,101,"2"
"30",2018-07-07,10:08:17,"Male",28,"CF0058_1100_NE.jpg","Female",97,97,"1"
"30",2018-07-07,10:08:17,"Male",28,"CM0001_1100_NE.jpg","Male",98,98,"5"
"30",2018-07-07,10:08:17,"Male",28,"CM0002_1100_NE.jpg","Male",83,83,"1"
"30",2018-07-07,10:08:17,"Male",28,"CM0003_1101_NE.jpg","Male",108,108,"7"
"30",2018-07-07,10:08:17,"Male",28,"CM0004_1100_NE.jpg","Male",94,94,"6"
"30",2018-07-07,10:08:17,"Male",28,"CM0005_1100_NE.jpg","Male",98,98,"2"
"30",2018-07-07,10:08:17,"Male",28,"CM0006_1110_NE.jpg","Male",97,98,"3"
"30",2018-07-07,10:08:17,"Male",28,"CM0007_1100_NE.jpg","Male",100,76,"3"
"30",2018-07-07,10:08:17,"Male",28,"CM0008_1100_NE.jpg","Male",86,86,"1"
"30",2018-07-07,10:08:17,"Male",28,"CM0009_1100_NE.jpg","Male",92,92,"6"
"30",2018-07-07,10:08:17,"Male",28,"CM0010_1100_NE.jpg","Male",90,90,"5"
"30",2018-07-07,10:08:17,"Male",28,"CM0011_1100_NE.jpg","Male",94,94,"2"
"30",2018-07-07,10:08:17,"Male",28,"CM0012_1101_NE.jpg","Male",91,91,"2"
"30",2018-07-07,10:08:17,"Male",28,"CM0013_1111_NE.jpg","Male",95,95,"7"
"30",2018-07-07,10:08:17,"Male",28,"CM0014_1101_NE.jpg","Male",115,130,"7"
"30",2018-07-07,10:08:17,"Male",28,"CM0015_1100_NE.jpg","Male",104,104,"7"
