"id","date","time","sex","age","stimulus","stimulus_gender","iq","perceived_iq","perceived_attractiveness"
"01",2018-06-30,15:27:50,"Male",24,"CF0001_1101_NE.jpg","Female",109,102,"4"
"01",2018-06-30,15:27:50,"Male",24,"CF00016_1100_NE.jpg","Female",88,75,"2"
"01",2018-06-30,15:27:50,"Male",24,"CF00017_1100_NE.jpg","Female",99,52,"5"
"01",2018-06-30,15:27:50,"Male",24,"CF00018_1100_NE.jpg","Female",88,73,"5"
"01",2018-06-30,15:27:50,"Male",24,"CF00019_1100_NE.jpg","Female",106,90,"6"
"01",2018-06-30,15:27:50,"Male",24,"CF0002_1100_NE.jpg","Female",100,100,"1"
"01",2018-06-30,15:27:50,"Male",24,"CF0003_1100_NE.jpg","Female",103,103,"5"
"01",2018-06-30,15:27:50,"Male",24,"CF0004_1100_NE.jpg","Female",110,107,"3"
"01",2018-06-30,15:27:50,"Male",24,"CF0005_1100_NE.jpg","Female",111,111,"2"
"01",2018-06-30,15:27:50,"Male",24,"CF0006_1100_NE.jpg","Female",116,116,"5"
"01",2018-06-30,15:27:50,"Male",24,"CF0007_1100_NE.jpg","Female",92,92,"4"
"01",2018-06-30,15:27:50,"Male",24,"CF0008_1100_NE.jpg","Female",90,90,"1"
"01",2018-06-30,15:27:50,"Male",24,"CF0009_1100_NE.jpg","Female",112,112,"3"
"01",2018-06-30,15:27:50,"Male",24,"CF0010_1100_NE.jpg","Female",101,101,"4"
"01",2018-06-30,15:27:50,"Male",24,"CF0011_1101_NE.jpg","Female",103,103,"5"
"01",2018-06-30,15:27:50,"Male",24,"CF0012_1110_NE.jpg","Female",106,91,"4"
"01",2018-06-30,15:27:50,"Male",24,"CF0013_1110_NE.jpg","Female",89,68,"4"
"01",2018-06-30,15:27:50,"Male",24,"CF0014_1100_NE.jpg","Female",106,106,"6"
"01",2018-06-30,15:27:50,"Male",24,"CF0015_1110_NE.jpg","Female",105,95,"4"
"01",2018-06-30,15:27:50,"Male",24,"CF0020_1100_NE.jpg","Female",78,90,"7"
"01",2018-06-30,15:27:50,"Male",24,"CF0021_1100_NE.jpg","Female",104,104,"7"
"01",2018-06-30,15:27:50,"Male",24,"CF0022_1100_NE.jpg","Female",83,51,"1"
"01",2018-06-30,15:27:50,"Male",24,"CF0023_1100_NE.jpg","Female",111,103,"1"
"01",2018-06-30,15:27:50,"Male",24,"CF0025_1100_NE.jpg","Female",126,130,"1"
"01",2018-06-30,15:27:50,"Male",24,"CF0026_1110_NE.jpg","Female",97,97,"7"
"01",2018-06-30,15:27:50,"Male",24,"CF0027_1110_NE.jpg","Female",101,98,"3"
"01",2018-06-30,15:27:50,"Male",24,"CF0028_1100_NE.jpg","Female",88,118,"5"
"01",2018-06-30,15:27:50,"Male",24,"CF0029_1100_NE.jpg","Female",113,113,"2"
"01",2018-06-30,15:27:50,"Male",24,"CF0030_1100_NE.jpg","Female",89,89,"4"
"01",2018-06-30,15:27:50,"Male",24,"CF0031_1100_NE.jpg","Female",103,103,"7"
"01",2018-06-30,15:27:50,"Male",24,"CF0032_1100_NE.jpg","Female",89,89,"7"
"01",2018-06-30,15:27:50,"Male",24,"CF0033_1100_NE.jpg","Female",100,100,"4"
"01",2018-06-30,15:27:50,"Male",24,"CF0034_1100_NE.jpg","Female",93,93,"1"
"01",2018-06-30,15:27:50,"Male",24,"CF0035_1100_NE.jpg","Female",97,90,"7"
"01",2018-06-30,15:27:50,"Male",24,"CF0035_1101_NE.jpg","Female",85,73,"5"
"01",2018-06-30,15:27:50,"Male",24,"CF0036_1100_NE.jpg","Female",115,118,"2"
"01",2018-06-30,15:27:50,"Male",24,"CF0037_1100_NE.jpg","Female",104,104,"4"
"01",2018-06-30,15:27:50,"Male",24,"CF0038_1110_NE.jpg","Female",119,119,"6"
"01",2018-06-30,15:27:50,"Male",24,"CF0039_1110_NE.jpg","Female",98,90,"4"
"01",2018-06-30,15:27:50,"Male",24,"CF0040_1110_NE.jpg","Female",92,115,"7"
"01",2018-06-30,15:27:50,"Male",24,"CF0041_1100_NE.jpg","Female",96,110,"7"
"01",2018-06-30,15:27:50,"Male",24,"CF0042_1100_NE.jpg","Female",95,100,"5"
"01",2018-06-30,15:27:50,"Male",24,"CF0043_1100_NE.jpg","Female",113,122,"5"
"01",2018-06-30,15:27:50,"Male",24,"CF0044_1100_NE.jpg","Female",105,100,"4"
"01",2018-06-30,15:27:50,"Male",24,"CF0045_1110_NE.jpg","Female",114,114,"5"
"01",2018-06-30,15:27:50,"Male",24,"CF0046_1100_NE.jpg","Female",101,101,"1"
"01",2018-06-30,15:27:50,"Male",24,"CF0048_1101_NE.jpg","Female",107,104,"4"
"01",2018-06-30,15:27:50,"Male",24,"CF0049_1100_NE.jpg","Female",107,76,"7"
"01",2018-06-30,15:27:50,"Male",24,"CF0050_1100_NE.jpg","Female",119,108,"5"
"01",2018-06-30,15:27:50,"Male",24,"CF0051_1100_NE.jpg","Female",96,106,"1"
"01",2018-06-30,15:27:50,"Male",24,"CF0052_1100_NE.jpg","Female",96,62,"1"
"01",2018-06-30,15:27:50,"Male",24,"CF0053_1100_NE.jpg","Female",98,98,"2"
"01",2018-06-30,15:27:50,"Male",24,"CF0054_1100_NE.jpg","Female",85,75,"2"
"01",2018-06-30,15:27:50,"Male",24,"CF0055_1100_NE.jpg","Female",95,101,"7"
"01",2018-06-30,15:27:50,"Male",24,"CF0056_1110_NE.jpg","Female",123,123,"7"
