"id","date","time","sex","age","stimulus","stimulus_gender","iq","perc_iq","perc_attr"
"09",2018-06-16,12:09:14,"Female",27,"CF0001_1101_NE.jpg","Female",92,109,"4"
"09",2018-06-16,12:09:14,"Female",27,"CF00016_1100_NE.jpg","Female",88,88,"4"
"09",2018-06-16,12:09:14,"Female",27,"CF00017_1100_NE.jpg","Female",104,104,"5"
"09",2018-06-16,12:09:14,"Female",27,"CF00018_1100_NE.jpg","Female",93,93,"7"
"09",2018-06-16,12:09:14,"Female",27,"CF00019_1100_NE.jpg","Female",91,91,"7"
"09",2018-06-16,12:09:14,"Female",27,"CF0002_1100_NE.jpg","Female",109,90,"4"
"09",2018-06-16,12:09:14,"Female",27,"CF0003_1100_NE.jpg","Female",92,73,"6"
"09",2018-06-16,12:09:14,"Female",27,"CF0004_1100_NE.jpg","Female",112,93,"3"
"09",2018-06-16,12:09:14,"Female",27,"CF0005_1100_NE.jpg","Female",91,80,"1"
"09",2018-06-16,12:09:14,"Female",27,"CF0006_1100_NE.jpg","Female",104,104,"5"
"09",2018-06-16,12:09:14,"Female",27,"CF0007_1100_NE.jpg","Female",80,80,"3"
"09",2018-06-16,12:09:14,"Female",27,"CF0008_1100_NE.jpg","Female",88,115,"7"
"09",2018-06-16,12:09:14,"Female",27,"CF0009_1100_NE.jpg","Female",94,94,"3"
"09",2018-06-16,12:09:14,"Female",27,"CF0010_1100_NE.jpg","Female",105,105,"1"
"09",2018-06-16,12:09:14,"Female",27,"CF0011_1101_NE.jpg","Female",109,130,"5"
"09",2018-06-16,12:09:14,"Female",27,"CF0012_1110_NE.jpg","Female",106,110,"6"
"09",2018-06-16,12:09:14,"Female",27,"CF0013_1110_NE.jpg","Female",89,89,"7"
"09",2018-06-16,12:09:14,"Female",27,"CF0014_1100_NE.jpg","Female",94,70,"1"
"09",2018-06-16,12:09:14,"Female",27,"CF0015_1110_NE.jpg","Female",106,106,"5"
"09",2018-06-16,12:09:14,"Female",27,"CF0020_1100_NE.jpg","Female",93,98,"5"
"09",2018-06-16,12:09:14,"Female",27,"CF0021_1100_NE.jpg","Female",108,119,"5"
"09",2018-06-16,12:09:14,"Female",27,"CF0022_1100_NE.jpg","Female",109,109,"2"
"09",2018-06-16,12:09:14,"Female",27,"CF0023_1100_NE.jpg","Female",103,84,"3"
"09",2018-06-16,12:09:14,"Female",27,"CF0025_1100_NE.jpg","Female",97,88,"3"
"09",2018-06-16,12:09:14,"Female",27,"CF0026_1110_NE.jpg","Female",108,104,"1"
"09",2018-06-16,12:09:14,"Female",27,"CF0027_1110_NE.jpg","Female",92,106,"1"
